Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0RZjuYWQ7nXV0iij60LYgJ,Disco Turbo,Disco Turbo,Jafunk;Haile Supreme;Triple H Horns,2025-08-13,176458,47,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu disco,funky house,retro soul",Luckie Star Records,0.735,0.757,7,-6.276,0,0.0444,0.597,0,0.192,0.925,126.035,4
spotify:track:0cVTEsqlynh7SPi3gUymM7,หลง,Bin,Slur,2018-11-23,278791,26,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,thai indie pop,thai indie rock",Smallroom,0.45,0.741,6,-6.125,0,0.0335,0.0086,0.00152,0.205,0.275,97.001,4
spotify:track:0Iocfa6qQrk7KumdZxW1d7,สนิม,FLOWER TO THE PEOPLE,SANIMYOK,2020,358208,22,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,thai rock,SANIMYOK,0.602,0.436,6,-6.472,0,0.027,0.355,0.0000053,0.0875,0.361,134.128,4
spotify:track:5gS7bOCcpJnaN5mmZcnsbq,ห้องดับจิต,BEFORE SUNRISE AFTER SUNSET (Deluxe Edition),Paradox,2017-02-10,219750,46,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,phleng phuea chiwit,t-pop",GMM Music Public Company Limited,0.377,0.66,7,-4.031,1,0.0315,0.0306,0,0.32,0.206,150.203,4
spotify:track:53inFM18RR3CdNYYoSmT1P,ระเบิดฟลอร์,ระเบิดฟลอร์,The Publish,2025-07-16,203402,13,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop",Zircle Muzik,0.413,0.891,9,-5.643,1,0.0629,0.00273,0.316,0.729,0.641,158.045,4
spotify:track:3PabbqfYAgRkGlQpquBLsf,อยากจะทราบ,ป็อป // เนทีฟ .,Sukid458,2025-04-30,202365,17,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,thai pop,Spacebar Music Hub,0.853,0.311,0,-16.005,1,0.0672,0.11,0,0.0903,0.333,109.982,4
spotify:track:1QdtmtakBfgvdXz1wEm2S9,ถ้ารู้ว่าจะหายไป,ถ้ารู้ว่าจะหายไป,Dept,2023-04-28,290909,43,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop,thai indie pop,thai indie rock",Smallroom,0.301,0.498,7,-7.013,1,0.0321,0.625,0.367,0.088,0.0705,130.85,4
spotify:track:71tQYtOFcYa5kwosLmZC6c,อย่ามาใช้ใครทำแบบนี้ (Mischief),อย่ามาใช้ใครทำแบบนี้ (Mischief),YENTED,2021-11-12,250588,38,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,thai hip hop,thai indie pop,t-pop",notbad! music,0.642,0.324,1,-12.984,1,0.058,0.757,0,0.204,0.295,135.977,4
spotify:track:2ykiSY1uHTHCBVpbym4Uff,Upside Down,Upside Down,54 Ultra,2025-04-02,196302,66,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,retro soul,54 Ultra,0.454,0.622,8,-7.214,1,0.0378,0.476,0.00033,0.17,0.557,169.808,4
spotify:track:5dHub7ap4LbQ3zBshJWyGa,Monsicha,Please Verify That You Are Not a Robot,Solitude Is Bliss,2019-12-05,253624,36,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai indie rock,thai indie pop,thai pop",Minimal Records,0.567,0.459,9,-7.284,1,0.0252,0.435,0.000083,0.303,0.413,139.962,4
